category,device,pps_idle,pps_active,pps_var_idle,pps_var_active,size_mean_idle,size_mean_active,size_var_idle,size_var_active,proto_tls_idle,proto_tls_active,proto_tcp_idle,proto_tcp_active,proto_udp_idle,proto_udp_active,proto_mdns_idle,proto_mdns_active,proto_ssdp_idle,proto_ssdp_active,proto_arp_idle,proto_arp_active,proto_dhcp_idle,proto_dhcp_active,proto_other_idle,proto_other_active,inout_ratio_idle,inout_ratio_active,num_packets_idle,num_packets_active,bts_idle,bts_active,pps_diff,pps_ratio,pps_var_diff,pps_var_ratio,size_mean_diff,size_mean_ratio,size_var_diff,size_var_ratio,proto_tls_diff,proto_tls_ratio,proto_tcp_diff,proto_tcp_ratio,proto_udp_diff,proto_udp_ratio,proto_mdns_diff,proto_mdns_ratio,proto_ssdp_diff,proto_ssdp_ratio,proto_arp_diff,proto_arp_ratio,proto_dhcp_diff,proto_dhcp_ratio,proto_other_diff,proto_other_ratio,inout_ratio_diff,inout_ratio_ratio,num_packets_diff,num_packets_ratio,bts_diff,bts_ratio,pps_cv_idle,pps_cv_active,size_cv_idle,size_cv_active,dominant_proto_change
appliance,cosori,0.1971356751654571,0.5873875726517163,0.3134893584791335,1.1130734313196036,97.99574468085106,204.6445868945869,2778.3667195935213,33081.2727361799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0340425531914893,0.0113960113960113,0.9659574468085106,0.9886039886039886,0.0001609502663676,0.0007885150632361,470,1404,52.90735024116321,182.4699671018081,0.39025189748625916,2.979595613848722,0.7995840728404701,3.550582661360196,106.64884221373583,2.0883007264526143,30302.906016586378,11.906733726321411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022646541795478002,0.33474800153528744,0.02264654179547798,1.0234435982937962,0.0006275647968685,4.868871666109538,934,2.9872340361973744,129.56261686064488,3.44885848225647,2.8401676336635164,1.7961244091275734,0.537882682557082,0.8887729766049063,proto_dhcp
appliance,honeywell,0.3739227654942265,0.0944080041099799,0.5,6.072534332084895,345.3333333333333,210.6681614349776,135507.66666666666,86785.39389164951,0.0,0.2690582959641255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0717488789237668,1.0,0.6591928251121076,4.999950000499995e-06,0.000102987641483,15,223,368.48758274929145,294.68801603328893,-0.2795147613842466,0.2524792827361427,5.572534332084895,12.14504437408104,-134.6651718983557,0.6100429367517414,-48722.27277501715,0.640446374923503,0.2690582959641255,269058.29596412554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0717488789237668,71748.87892376681,-0.34080717488789236,0.6591921659199418,9.798769148250001e-05,17.164749951985886,208,14.866665675555623,-73.79956671600252,0.799723054532514,1.8910453050555451,26.10186703417733,1.0659661937775031,1.398377451173263,proto_other
appliance,levoit,0.3331616760478254,0.3287672810681736,12.998535564853556,11.270024465482395,136.2092731829574,135.96296296296296,27536.86079219378,29428.662309368192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100250626566416,0.0932311621966794,0.899749373433584,0.9067688378033204,0.0003188625702322,0.0003138659792268,798,783,166.2755034462958,171.87660990629092,-0.004394394979651772,0.9868070606473914,-1.7285110993711612,0.8670225612901037,-0.24631021999442737,0.9981916707105892,1891.8015171744119,1.068700696509386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0070194643697366055,0.929971566445502,0.007019464369736439,1.0078004573012322,-4.996591005400005e-06,0.9812526017000148,-15,0.9812030062892193,5.601106459995123,1.03368569218086,10.821584914305191,10.211099742563158,1.2182895971338403,1.2617247934662068,proto_dhcp
appliance,swan,0.0918997513180641,0.0807904166687581,5.741815476190476,1.8699436763952888,135.59701492537314,124.19786096256684,41179.98179104478,18942.062791098844,0.1393034825870646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0796019900497512,0.0962566844919786,0.7810945273631841,0.9037433155080212,9.598992105828888e-05,8.899127885467224e-05,201,187,203.0204137434251,137.71095713566552,-0.01110933464930601,0.8791050727011613,-3.8718717997951875,0.325671098013906,-11.39915396280631,0.9159335853741802,-22237.918999945938,0.4599823012733362,-0.1393034825870646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016654694442227405,1.2092094082372908,0.12264878814483715,1.1570202156436236,-6.998642203616637e-06,0.9175312020430492,-14,0.9303482540778694,-65.30945660775959,0.678310884694542,26.073873481791203,16.9257935483384,1.4965558984261889,1.1081524636911901,proto_tls
appliance,weekett,0.5273700138833531,0.6011180649967054,1.3845874651630048,0.7789590254706534,196.1384493670886,187.0916030534351,3123.596810261884,3648.692991942324,0.0316455696202531,0.0124913254684247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0126582278481012,0.0111034004163775,0.9556962025316456,0.9764052741151976,0.0001148680166488,0.000170783105456,1264,1441,56.41651753164287,61.00553008880771,0.07374805111335225,1.1398390301550854,-0.6056284396923514,0.5625924562205191,-9.046846313653504,0.9538751973581844,525.0961816804402,1.1681062609576394,-0.019154244151828398,0.3947134118584066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015548274317237001,0.8770993420458055,0.020709071583552063,1.0216680257394248,5.5915088807200006e-05,1.4739451869073548,177,1.1400316446676964,4.589012557164843,1.0813416296610179,2.2312279520609457,1.468239165065596,0.2849474308232708,0.32286008947017714,proto_other
appliance,xiaomiblender,1.1006734474944158,1.7770739884522893,3.497200803398283,4.869403072046244,195.24770290964776,252.95811764705883,23391.17607668229,72359.45882441543,0.9483154670750384,0.9882352941176472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0187595712098009,0.0037647058823529,0.0329249617151607,0.008,0.0014173431258858,0.0023565484799214,2612,4250,154.04241424013182,270.774209334566,0.6764005409578735,1.6145318831536746,1.372202268647961,1.3923712001162107,57.71041473741107,1.2955753772352527,48968.28274773314,3.0934510767696786,0.03991982704260877,1.042094415133097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014994865327448002,0.20067117574683127,-0.024924961715160697,0.24296936469790084,0.0009392053540355999,1.661479818890553,1638,1.6271056655332674,116.7317950944342,1.7577899496866802,1.6990313813895102,1.2417441089026848,0.7833215844802572,1.0634058190535225,proto_tls
audio,bose,0.8714040463443372,24.789689477520756,25.083626454750732,68.4492795926405,362.8036485837734,735.6606407130245,55272.87353135003,473067.4466186194,0.0604896783485357,0.955503237198352,0.0,0.0,0.0,0.0,0.0043206913106096,0.0002354326074161,0.7498799807969275,0.0264020852602371,0.0,0.0,0.0076812289966394,0.000269065837047,0.1776284205472875,0.0175901790969477,0.0003124469688651,0.0290973658316731,2083,59465,235.97324055841847,712.5886765505022,23.918285431176418,28.4479526272161,43.365653137889765,2.7288429361390665,372.85699212925107,2.0277101444734953,417794.5730872693,8.558763393072791,0.8950135588498163,15.795875716468666,0.0,0.0,0.0,0.0,-0.0040852587031935,0.05447696063763768,-0.7234778955366904,0.035208367642793906,0.0,0.0,-0.0074121631595924,0.03502444891511346,-0.1600382414503398,0.09902739671587761,0.028784918862808,92.83026706886389,57382,28.547767629117732,476.61543599208375,3.0197859377801146,5.7474485427576,0.3337438999831138,0.6480139788610032,0.9349405800362045,proto_tls
audio,echodot3,1.1868815407033246,37.1699868138847,0.8490028490028488,565.5255182715019,73.0677966101695,553.1085966761613,392.9263588544711,412829.2348171508,0.1525423728813559,0.7866082041850764,0.0,0.0,0.0,0.0,0.0,0.0061452889855787,0.0,0.000347634960863,0.0,0.0,0.0,0.0001794244959293,0.847457627118644,0.2067194473725525,6.999636018927016e-06,0.0416099244116657,59,89174,21.009251703084797,679.6878735821449,35.98310527318137,31.317325463274955,564.676515422499,666.1047755386611,480.0408000659918,7.569799758124641,412436.30845829635,1050.6529390648445,0.6340658313037205,5.15661997848231,0.0,0.0,0.0,0.0,0.0061452889855787,6145.2889855787,0.000347634960863,347.634960863,0.0,0.0,0.0001794244959293,179.4244959293,-0.6407381797460916,0.24392866006379307,0.041602924775646775,5201.477206365047,89115,1511.4237031962084,658.6786218790601,32.351834840957764,0.7763308283516035,0.639784456151247,0.2712873633900608,1.1616487060004932,proto_other
audio,echodot5,4.393815500080818,31.01125573919906,109.72587665156138,8352.442687961082,118.8078420203171,825.0491635875042,47963.308875071125,492664.98158000695,0.1059527200227855,0.8814914343298623,0.0,0.0,0.0,0.0,0.0336086585018513,0.0041921397379912,0.0,0.0004299630500503,0.0,0.0,0.001519035412513,0.0002149815250251,0.8589195860628501,0.1136714813570708,0.005213410630941,0.0438283047317042,10533,74425,223.39908684091208,732.9122327865366,26.617440239118245,7.057931467695261,8242.716811309521,76.12099230123796,706.241321567187,6.944399819180407,444701.67270493583,10.271705458290375,0.7755387143070769,8.319589289930512,0.0,0.0,0.0,0.0,-0.029416518763860103,0.12473020925696959,0.0004299630500503,429.9630500503,0.0,0.0,-0.0013040538874879001,0.14143191879305073,-0.7452481047057793,0.13234224816769388,0.0386148941007632,8.405226943892389,63892,7.06588816034692,509.5131459456245,3.2807306416061164,2.3840349299539803,2.947049195638127,1.843357018975419,0.850738364662503,proto_tls
audio,echospot,6.456631101325491,22.58697571434468,477.1965630915999,247.7455389564946,165.03684550743375,448.42293992802433,83939.64748840008,380174.1785487537,0.246218487394958,0.5767278767186491,0.0,0.0,0.0,0.0,0.0171945701357466,0.0047614653501891,0.0012928248222365,0.0009227646027498,0.0,0.0,0.0010342598577892,0.0003321952569899,0.7342598577892695,0.417255698071422,0.0071589245545756,0.0259168861198535,15470,54185,296.1800293424757,639.1696372843517,16.130344613019187,3.4982596746851606,-229.45102413510529,0.5191687400937338,283.38609442059055,2.717108024163719,296234.5310603536,4.52913718272122,0.3305093893236911,2.3423323751524436,0.0,0.0,0.0,0.0,-0.012433104785557501,0.27690069666784944,-0.00037006021948669994,0.7132067548021789,0.0,0.0,-0.0007020646007992999,0.32088103724924083,-0.3170041597178475,0.5682662961603395,0.018757961565277897,3.6197149735734477,38715,3.502585649418062,342.989607941876,2.1580443372406775,3.3833163891608877,0.6968588460245697,1.755507357128883,1.3750024927225426,proto_tls
audio,googlehome,3.2819640826040013,19.104432676623222,89.88432031630632,7271.584174487412,220.9635462974724,966.9967493509612,121949.3544890482,363290.1674778701,0.1166010415343579,0.9259113816349236,0.0,0.0,0.0,0.0,0.1529277276768703,0.021358291336693,0.0,0.0,0.0,0.0,0.0020322621618188,0.0003490629840521,0.7284389686269529,0.052381264044331,0.0032829803648308,0.0337861547935713,7873,45837,352.494441650414,621.8400027883183,15.82246859401922,5.821034714197885,7181.699854171106,80.89936117889162,746.0332030534888,4.376272743526972,241340.81298882194,2.979024932087827,0.8093103401005657,7.940781906139225,0.0,0.0,0.0,0.0,-0.1315694363401773,0.13966173433301463,0.0,0.0,0.0,0.0,-0.0016831991777667,0.17167632910645178,-0.6760577045826219,0.07190882749482459,0.0305031744287405,10.288171986470465,37964,5.822050043716239,269.3455611379043,1.7641129264696735,2.8887370605258003,4.463549441704681,1.5804076366391888,0.623306717311034,proto_tls
audio,homepod,1.7307207522121233,4.3985968367585375,3843.366919290063,51.38094363075906,624.8231751385208,214.77349900407853,419913.5359543498,76445.67056683947,0.8352204288123344,0.2062031679787536,0.0,0.0,0.0,0.0,0.0479402553601541,0.0285497486483922,0.0,0.0,0.0,0.0,0.0004818116116598,0.0001896993265673,0.1163575042158516,0.7650573840462866,0.0021887144970148,0.0051153769643922,4151,10543,649.7380786999054,280.8866988716191,2.667876084546414,2.5414812237359747,-3791.9859756593037,0.01336873233713561,-410.0496761344423,0.3437348472433489,-343467.86538751033,0.18205097959730474,-0.6290172608335808,0.24688443191881432,0.0,0.0,0.0,0.0,-0.0193905067117619,0.5955152495260072,0.0,0.0,0.0,0.0,-0.00029211228509250003,0.39290547697300704,0.6486998798304351,6.575001880628011,0.0029266624673774003,2.3360931168724988,6392,2.5398699102529823,-368.85137982828627,0.43230758308232803,35.82025488553416,1.6296216347354624,1.0371051886270501,1.2873473777240212,proto_other
audio,nestmini2,8.355416909683651,30.8540239285725,22.719653389366677,7798.066888286788,84.55708013172338,695.6857961146686,13587.449288974069,462940.8878594728,0.0689551940924059,0.5367323228229446,0.0,0.0,0.0,0.0,0.0328310547849516,0.0145091999675772,0.0,0.0,0.0,0.0,0.0007983235206067,0.0002161519548242,0.8974154276020357,0.448542325254654,0.009459832575115,0.0474227005202873,20042,74022,124.9206316565114,711.2516193530954,22.498607018888848,3.692696674431295,7775.347234897421,343.2299961365813,611.1287159829452,8.227410251199736,449353.4385704987,34.071213660467414,0.46777712873053867,7.78367092162435,0.0,0.0,0.0,0.0,-0.018321854817374403,0.4419217762217981,0.0,0.0,0.0,0.0,-0.0005821715657825,0.2704186093011964,-0.44887310234738176,0.49981514875228306,0.0379628679451723,5.012529303713089,53980,3.693343977462661,586.330987696584,5.693628059896172,0.5704698206435053,2.8620792295189164,1.378538771522186,0.9780242722310086,proto_tls
audio,sonos,0.3909992797632051,14.829360766408469,104.08101585842331,89511.05297873341,677.1154261057173,1203.5989711410723,153192.71128445645,311640.9417209155,0.1823085221143473,0.9535034907713617,0.0,0.0,0.0,0.0,0.0107874865156418,0.0001695921309251,0.2610571736785329,0.0068402159473133,0.0,0.0,0.0172599784250269,0.000452245682467,0.5285868392664509,0.0390344554679329,0.0001608767683954,0.0288836574703894,927,35379,391.7894040854758,573.0774612745208,14.438361486645263,37.926726741447155,89406.97196287499,860.0132443026689,526.483545035355,1.7775388404393209,158448.23043645904,2.034306587473405,0.7711949686570143,5.230135429642067,0.0,0.0,0.0,0.0,-0.0106178943847167,0.01571973331747832,-0.25421695773121955,0.026201883859558236,0.0,0.0,-0.0168077327425599,0.026200466238419224,-0.489552383798518,0.07384667706715135,0.028722780701994,178.42991157222892,34452,38.16504850251883,181.28805718904505,1.4627181180397,26.09207949762619,20.17510822057527,0.5780379373110989,0.4638157006025431,proto_tls
camera,amcrest266e,0.4531018322113967,3445.221096943174,15.467600276625175,1175962.5141640615,149.0388170055453,73.89226576104265,31404.270462244,25200.78279681036,0.0,1.4756143242478631e-05,0.0,0.0,0.0,0.0,0.0,1.5360903211432673e-05,0.0,1.487709523626944e-05,0.0,0.0,0.0147874306839186,3.0479902435283728e-05,0.9852125693160814,0.9999245259558746,0.0004587142210402,4.406226666479999,1082,8267743,177.6656026955647,3603.968641166101,3444.7679951109626,7603.6185431209005,1175947.0465637848,76027.46496583089,-75.14655124450265,0.4957920812166756,-6203.48766543364,0.8024635638744008,1.4756143242478631e-05,14.756143242478633,0.0,0.0,0.0,0.0,1.5360903211432673e-05,15.360903211432674,1.487709523626944e-05,14.877095236269442,0.0,0.0,-0.014756950781483315,0.0020610640227315346,0.014711956639793189,1.0149317438349994,4.405767952258959,9584.708205262794,8266661,7641.167275747534,3426.303038470536,20.285123097555836,8.67989943099064,0.31476007559402835,1.189035871559044,2.1483647908149193,proto_dhcp
